X,C_W1,C_W2,t,N
75.92507822594189,0.0,0.0,38.87499999999997,21.0
75.83317249194225,0.0,0.0,38.916666666666636,21.0
75.69876820772107,0.0,0.0,38.9583333333333,21.0
75.59832270225102,0.0,0.0,38.999999999999964,21.0
75.49602014553078,0.0,0.0,39.04166666666663,21.0
75.38269222984297,0.0,0.0,39.08333333333329,21.0
75.29459807632296,0.0,0.0,39.12499999999996,21.0
75.25301229014184,0.0,0.0,39.16666666666662,21.0
75.21016502098487,0.0,0.0,39.208333333333286,21.0
75.14217552479033,0.0,0.0,39.24999999999995,21.0
75.02945859703176,0.0,0.0,39.291666666666615,21.0
74.99294673100697,0.0,0.0,39.33333333333328,21.0
74.92797587989774,0.0,0.0,39.37499999999994,21.0
74.87760541621147,0.0,0.0,39.41666666666661,21.0
74.75481304094016,0.0,0.0,39.45833333333327,21.0
74.6892369478086,0.0,0.0,39.499999999999936,21.0
74.58693378277475,0.0,0.0,39.5416666666666,21.0
74.46283714259664,0.0,0.0,39.583333333333265,21.0
74.36091995999715,0.0,0.0,39.62499999999993,21.0
74.30874840550506,0.0,0.0,39.66666666666659,21.0
74.2475057742407,0.0,0.0,39.70833333333326,21.0
74.1494013846122,0.0,0.0,39.74999999999992,21.0
74.08648936657467,0.0,0.0,39.791666666666586,21.0
74.09377013149951,0.0,0.0,39.83333333333325,21.0
74.05497062083377,0.0,0.0,39.874999999999915,21.0
74.00992154556852,0.0,0.0,39.91666666666658,21.0
73.93889875887434,0.0,0.0,39.95833333333324,21.0
73.8802341669546,0.0,0.0,39.99999999999991,21.0
73.7862949582574,0.0,0.0,40.04166666666657,21.0
73.77081428443701,0.0,0.0,40.083333333333236,21.0
73.70182412667742,0.0,0.0,40.1249999999999,21.0
73.70881722136278,0.0,0.0,40.166666666666565,21.0
73.66888163471158,0.0,0.0,40.20833333333323,21.0
73.63604529551003,0.0,0.0,40.24999999999989,21.0
73.59861958094938,0.0,0.0,40.29166666666656,21.0
73.60200824686316,0.0,0.0,40.33333333333322,21.0
73.56952802810717,0.0,0.0,40.374999999999886,21.0
73.48950563967446,0.0,0.0,40.41666666666655,21.0
73.43969474808955,0.0,0.0,40.458333333333215,21.0
73.44225967951427,0.0,0.0,40.49999999999988,21.0
73.40242869133955,0.0,0.0,40.54166666666654,21.0
73.34547071616122,0.0,0.0,40.58333333333321,21.0
73.2956092774308,0.0,0.0,40.62499999999987,21.0
73.28647254183826,0.0,0.0,40.666666666666536,21.0
73.22911483023933,0.0,0.0,40.7083333333332,21.0
73.22346329446033,0.0,0.0,40.749999999999865,21.0
73.18043058791848,0.0,0.0,40.79166666666653,21.0
73.1415937912498,0.0,0.0,40.833333333333194,21.0
73.10804097316186,0.0,0.0,40.87499999999986,21.0
73.11262787568609,0.0,0.0,40.91666666666652,21.0
73.11720534851835,0.0,0.0,40.95833333333319,21.0
73.03125745711799,0.0,0.0,40.99999999999985,21.0
72.95646681962678,0.0,0.0,41.041666666666515,21.0
72.9123129126306,0.0,0.0,41.08333333333318,21.0
72.88459862066783,0.0,0.0,41.124999999999844,21.0
72.85206505446077,0.0,0.0,41.16666666666651,21.0
72.79102768840161,0.0,0.0,41.20833333333317,21.0
72.80772694142362,0.0,0.0,41.24999999999984,21.0
72.80731997883588,0.0,0.0,41.2916666666665,21.0
72.70188111956554,0.0,0.0,41.333333333333165,21.0
72.64672175115422,0.0,0.0,41.37499999999983,21.0
72.59437341595488,0.0,0.0,41.416666666666494,21.0
72.59907851725252,0.0,0.0,41.45833333333316,21.0
72.49952317847463,0.0,0.0,41.49999999999982,21.0
72.45836447676318,0.0,0.0,41.54166666666649,21.0
72.43780794096452,0.0,0.0,41.58333333333315,21.0
72.4223605320085,0.0,0.0,41.624999999999815,21.0
72.36472546140595,0.0,0.0,41.66666666666648,21.0
72.40072851322707,0.0,0.0,41.708333333333144,21.0
72.44633478329477,0.0,0.0,41.74999999999981,21.0
72.44420495453714,0.0,0.0,41.79166666666647,21.0
72.5267049404798,0.0,0.0,41.83333333333314,21.0
72.52151527334094,0.0,0.0,41.8749999999998,21.0
72.60791599537411,0.0,0.0,41.916666666666465,21.0
72.56935777134501,0.0,0.0,41.95833333333313,21.0
72.5940759459619,0.0,0.0,41.999999999999794,21.0
72.63321302540359,0.0,0.0,42.04166666666646,21.0
72.66660508092389,0.0,0.0,42.08333333333312,21.0
72.66275272445976,0.0,0.0,42.12499999999979,21.0
72.68859090786648,0.0,0.0,42.16666666666645,21.0
72.694257376775,0.0,0.0,42.208333333333115,21.0
72.7043828637071,0.0,0.0,42.24999999999978,21.0
72.68150747830973,0.0,0.0,42.291666666666444,21.0
72.64990453388509,0.0,0.0,42.33333333333311,21.0
72.6958966113041,0.0,0.0,42.37499999999977,21.0
72.65215534576545,0.0,0.0,42.41666666666644,21.0
72.66224241848022,0.0,0.0,42.4583333333331,21.0
72.65911285271049,0.0,0.0,42.499999999999766,21.0
72.61759041622216,0.0,0.0,42.54166666666643,21.0
76.01939736136298,0.0,0.0,42.583333333333094,20.0
78.31342401530418,0.0,0.0,42.62499999999976,20.0
79.80516146394825,0.0,0.0,42.66666666666642,20.0
80.80652795439238,0.0,0.0,42.70833333333309,20.0
81.44087292882196,0.0,0.0,42.74999999999975,20.0
81.78121668551474,0.0,0.0,42.791666666666416,20.0
81.97359925327453,0.0,0.0,42.83333333333308,20.0
81.99186702735089,0.0,0.0,42.874999999999744,20.0
81.96053067945918,0.0,0.0,42.91666666666641,20.0
